case_id,fitness,case:concept:name,Nível de Urgência,variant_index,lead_time_case,total_processing_time
5456877,1.0,5456877,Não informado,1.0,9.0,9.0
5457467,1.0,5457467,Não informado,2.0,66.0,66.0
5457956,1.0,5457956,Baixo,1.0,56.0,56.0
5458022,0.7692307692307692,,,,,
5458040,1.0,5458040,Baixo,16.0,19.0,19.0
5458053,0.9714285714285714,5458053,Média,77.0,184.0,184.0
5458057,1.0,5458057,Baixo,1.0,21.0,21.0
5458135,0.907907196969697,,,,,
5458320,1.0,5458320,Não informado,80.0,698.0,698.0
5458692,0.9655172413793104,,,,,
5458955,0.9473684210526316,5458955,Baixo,83.0,307.0,307.0
5459129,1.0,5459129,Gestante,82.0,50.0,50.0
5459208,0.9,5459208,Dor Torácica,87.0,189.0,189.0
5459247,1.0,5459247,Baixo,84.0,175.0,175.0
5459284,1.0,5459284,Média,85.0,560.0,560.0
5459336,1.0,5459336,Não informado,86.0,178.0,178.0
5459506,0.9077186963979417,5459506,Média,95.0,428.0,428.0
5459612,1.0,5459612,Média,4.0,167.0,167.0
5459815,1.0,5459815,Baixo,88.0,143.0,143.0
5459821,1.0,5459821,Baixo,89.0,132.0,132.0
5459831,1.0,5459831,Média,90.0,142.0,142.0
5459866,0.9833333333333333,,,,,
5459967,0.9411764705882353,5459967,Média,92.0,273.0,273.0
5459988,1.0,5459988,Dor Torácica,93.0,38.0,38.0
5459993,0.9027255639097744,,,,,
5460016,1.0,5460016,Idoso,14.0,180.0,180.0
5460020,1.0,5460020,Baixo,1.0,71.0,71.0
5460021,1.0,5460021,Idoso,2.0,89.0,89.0
5460026,1.0,5460026,Gestante,1.0,40.0,40.0
5460027,1.0,5460027,Baixo,1.0,37.0,37.0
5460030,1.0,5460030,Baixo,1.0,34.0,34.0
5460034,1.0,5460034,Baixo,1.0,42.0,42.0
5460040,1.0,5460040,Baixo,96.0,90.0,90.0
5460041,1.0,5460041,Baixo,4.0,123.0,123.0
5460049,1.0,5460049,Baixo,1.0,39.0,39.0
5460053,1.0,5460053,Baixo,97.0,118.0,118.0
5460054,1.0,5460054,Baixo,1.0,51.0,51.0
5460056,1.0,5460056,Baixo,17.0,3221.0,3221.0
5460057,1.0,5460057,Baixo,1.0,59.0,59.0
5460060,1.0,5460060,Baixo,1.0,66.0,66.0
5460067,0.8395833333333333,,,,,
5460074,1.0,5460074,Baixo,1.0,23.0,23.0
5460395,0.9526209677419355,,,,,
5460577,1.0,5460577,Não informado,1.0,67.0,67.0
5460590,1.0,5460590,Idoso,2.0,65.0,65.0
5460626,1.0,5460626,Não informado,1.0,50.0,50.0
5460650,0.9047619047619048,5460650,Coletar PCR,100.0,142.0,142.0
5460665,1.0,5460665,Não informado,1.0,33.0,33.0
5460675,1.0,5460675,Não informado,1.0,30.0,30.0
5460683,1.0,5460683,Não informado,1.0,27.0,27.0
5460691,1.0,5460691,Não informado,1.0,36.0,36.0
5460700,1.0,5460700,Coletar PCR,1.0,35.0,35.0
5460717,1.0,5460717,Não informado,1.0,26.0,26.0
5460733,1.0,5460733,Coletar PCR,1.0,22.0,22.0
5460740,1.0,5460740,Idoso,101.0,241.0,241.0
5460747,1.0,5460747,Não informado,1.0,24.0,24.0
5460770,1.0,5460770,Não informado,1.0,27.0,27.0
5460775,1.0,5460775,Não informado,1.0,30.0,30.0
5460826,1.0,5460826,Não informado,1.0,20.0,20.0
5460832,1.0,5460832,Não informado,1.0,20.0,20.0
5460843,1.0,5460843,Não informado,1.0,18.0,18.0
5461391,1.0,5461391,Idoso,4.0,346.0,346.0
5461405,1.0,5461405,Média,102.0,126.0,126.0
5461434,0.8333333333333334,,,,,
5461450,1.0,5461450,Baixo,1.0,293.0,293.0
5461498,1.0,5461498,Baixo,1.0,66.0,66.0
5461505,1.0,5461505,Baixo,1.0,66.0,66.0
5461520,0.8333333333333334,,,,,
5461570,0.8816091954022989,,,,,
5461944,1.0,5461944,Média,104.0,109.0,109.0
5462015,1.0,5462015,Baixo,16.0,160.0,160.0
5462120,1.0,5462120,Média,6.0,116.0,116.0
5462149,1.0,5462149,Média,105.0,234.0,234.0
5462278,1.0,5462278,Não informado,106.0,342.0,342.0
5462369,1.0,5462369,Coletar PCR,1.0,116.0,116.0
5462631,1.0,5462631,Baixo,1.0,29.0,29.0
5462650,1.0,5462650,Baixo,1.0,46.0,46.0
5462665,1.0,5462665,Média,107.0,226.0,226.0
5462733,1.0,5462733,Baixo,108.0,152.0,152.0
5462822,1.0,5462822,Baixo,1.0,50.0,50.0
5462863,1.0,5462863,Baixo,1.0,47.0,47.0
5462868,1.0,5462868,Baixo,17.0,143.0,143.0
5462896,1.0,5462896,Não informado,1.0,36.0,36.0
5462910,1.0,5462910,Baixo,1.0,24.0,24.0
5462929,1.0,5462929,Média,109.0,160.0,160.0
5462933,1.0,5462933,Coletar PCR,1.0,21.0,21.0
5462968,0.6666666666666667,,,,,
5463012,1.0,5463012,Média,111.0,163.0,163.0
